line,subject,tier2,tier3,tier1,tmin,tmax
234,CF36WOM_12,len_exp,?,:::m_exp,180.156,180.462
235,CF36WOM_12,clause23_exp-s1,exp,"""ma""",180.462,180.695
236,CF36WOM_12,len_exp,?,:::a_exp,180.695,180.883
237,CF36WOM_12,clause23_exp-s2,exp,"""ti piace vedere la tv?""",180.883,182.275
238,CF36WOM_12,len_exp,?,:::u_epx,182.275,182.42
239,CF36WOM_12,clause24_exp-s1,exp,"""hai un progra""",182.42,182.936
240,CF36WOM_12,ove,?,[],182.936,184.184
241,CF36WOM_12,clause25_exp-s1,exp,"""ti piace vedere?""",184.184,185.22
242,CF36WOM_12,fil,?,:e,185.22,185.598
243,CF36WOM_12,clause46-s1,sub,soprattutto appunto il fu- i film romantici ,185.598,187.868
244,CF36WOM_12,sil,?,(.),187.868,187.982
245,CF36WOM_12,clause47-s1,sub,se ci sono,187.982,188.895
246,CF36WOM_12,sil,?,(.),188.895,189.497
247,CF36WOM_12,ove,?,[],189.497,189.951
248,CF36WOM_12,clause26_exp-s1,exp,"""ilm che ti piace particolarmente?""",189.951,191.981
249,CF36WOM_12,clause48-s1,sub,parti- ma a me mi piacciono tipo,191.981,193.651
250,CF36WOM_12,len,f,:::o,193.651,193.835
251,CF36WOM_12,clause48-s2,sub,Poveri ma Belli,193.835,194.881
252,CF36WOM_12,lau,?,[l],194.881,195.338
253,CF36WOM_12,ove,?,[],195.338,196.144
254,CF36WOM_12,clause27_exp-s1,exp,"""ccontare un po'?""",196.144,197.073
255,CF36WOM_12,clause49-s1,sub,sono,197.073,197.454
256,CF36WOM_12,len,f,:::o,197.454,197.594
257,CF36WOM_12,clause49-s2,sub,ecco poveri ma belli sereni ,197.594,199.829
258,CF36WOM_12,clause50-s1,sub,sono felici,199.829,200.844
259,CF36WOM_12,sil,?,(.),200.844,201.046
260,CF36WOM_12,clause51-s1,sub,non c'a avevano nulla  di soldi,201.046,202.694
261,CF36WOM_12,clause52-s1,sub,pero' erano belli,202.694,203.616
262,CF36WOM_12,sil,?,(.),203.616,204.266
263,CF36WOM_12,clause53-s1,sub,cioe',204.266,204.49
264,CF36WOM_12,len,f,:::e,204.49,204.63
265,CF36WOM_12,clause53-s2,sub,vivevano nel,204.63,205.381
266,CF36WOM_12,sil,?,(.),205.381,205.57
267,CF36WOM_12,clause53-s3,sub,poco nel piccolo,205.57,206.646
268,CF36WOM_12,clause54-s1,sub,stavano bene non come oggi,206.646,208.296
269,CF36WOM_12,sil,?,(.),208.296,208.755
270,CF36WOM_12,clause55-s1,sub,p- compr- pecche' la rovina dei ragazzi di oggi e' proprio a televisione,208.755,212.741
271,CF36WOM_12,clause56-s1,sub,in che senso a tecnologia troppe cose avanti,212.741,215.375
272,CF36WOM_12,sil,?,(.),215.375,215.661
273,CF36WOM_12,clause57-s1,sub,e fa male,215.661,216.523
274,CF36WOM_12,sil,?,(.),216.523,216.786
275,CF36WOM_12,clause58-s1,sub,invece prima si divertiva anche per niente,216.786,218.661
276,CF36WOM_12,sil,?,(.),218.661,219.072
277,CF36WOM_12,clause59-s1,sub,allora a mie tempi,219.072,220.235
278,CF36WOM_12,sil,?,(.),220.235,221.068
279,CF36WOM_12,clause59-s2,sub,giovaca ca campana,221.068,222.302
280,CF36WOM_12,len,f,:::a,222.302,222.495
281,CF36WOM_12,clause59-s3,sub,col gessetto a terr,222.495,223.57
282,CF36WOM_12,clause60-s1,sub,ci d- per niente basta- eramo tranquilli felici,223.57,226.201
283,CF36WOM_12,clause61-s1,sub,invece adesso no,226.201,227.151
284,CF36WOM_12,sil,?,(.),227.151,227.401
285,CF36WOM_12,clause62-s1,sub,vedo che e' cambiato tutto,227.401,228.718
286,CF36WOM_12,silV-e,?,(.)v,228.718,230.001
287,CF36WOM_12,len,s,:::e,230.001,230.311
288,CF36WOM_12,clause28_exp-s1,exp,"""e il salito che cosa fai di solito?""",230.311,232.527
289,CF36WOM_12,clause63-s1,sub,di solito ,232.527,233.317
290,CF36WOM_12,sil,?,(.),233.317,233.401
291,CF36WOM_12,clause63-s2,sub,quasi sempre andiamo fuori a cena con gli amici mio marito sempre,233.401,237.063
292,CF36WOM_12,sil,?,(.),237.063,237.472
293,CF36WOM_12,clause63-s3,sub,si si,237.472,237.866
294,CF36WOM_12,ove,?,[],237.866,238.163
295,CF36WOM_12,len_exp,?,:::i_exp,238.163,238.356
296,CF36WOM_12,clause29_exp-s1,exp,"""non vedi la tv?""",238.356,239.458
297,CF36WOM_12,clause30_exp-s1,exp,"""ad esempio c'e' posta per te l'hai mai vis""",239.458,241.798
298,CF36WOM_12,ove,?,[],241.798,241.965
299,CF36WOM_12,clause64-s1,sub,capitato certo che stav,241.965,243.233
300,CF36WOM_12,ove,?,[],243.233,243.626
301,CF36WOM_12,clause64-s2,sub,casa,243.626,243.996
302,CF36WOM_12,len,s,:::s,243.996,244.128
303,CF36WOM_12,clause67-s3,sub,si si pure l'ho visto pero' di raro,244.128,246.244
304,CF36WOM_12,clause68-s1,sub,appunto perche' il sabato usciamo con mio marito,246.244,248.11
305,CF36WOM_12,clause69-s1,sub,pecche',248.11,248.364
306,CF36WOM_12,len,f,:::e,248.364,248.504
307,CF36WOM_12,clause69-s2,sub,capita che stai libera,248.504,250.012
308,CF36WOM_12,clause70-s1,sub,e,250.012,250.17
309,CF36WOM_12,len,f,:::e,250.17,250.449
310,CF36WOM_12,sil,?,(.),250.449,250.741
311,CF36WOM_12,clause70-s2,sub,ne approfittiamo almeno o sabato,250.741,252.085
312,CF36WOM_12,ove,?,[],252.085,252.248
313,CF36WOM_12,clause31_exp-s1,exp,"""e tuo figlio ha compiuto gia' 18 a/""",252.248,253.978
314,CF36WOM_12,len_exp,?,:::a_exp,253.978,254.185
